# Fix print output for fix mymsdfile
0.05 5.75769553723649
0.06 5.97813662212738
0.07 6.45513998696138
0.08 7.21616452656444
0.1 9.77101998905547
0.2 65.4141492803414
0.3 280.65687561786
0.4 757.946008256644
0.5 1484.89329548041
0.6 2314.90695995529
0.7 3001.98315986423
0.8 3372.43608860713
1 3122.71404575536
2 1896.03537969382
3 2270.34071483749
4 3353.02823268613
5 3913.14096086907
6 4128.81743618414
7 4526.03449960177
8 4417.94535736492
10 4601.01372152428
20 4885.33124881182
30 4891.35032786158
40 4899.5950592095
50 4933.28204571654
60 4943.38254629277
70 4987.47716864282
80 5009.27736369737
100 5003.22943975029
