ITEM: TIMESTEP
0
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ENTRIES index c_angles
1 105.981 
2 56.1735 
3 141.762 
4 99.3365 
5 72.7565 
6 63.2397 
7 142.509 
8 71.386 
9 85.4298 
10 125.369 
ITEM: TIMESTEP
1300
ITEM: NUMBER OF ENTRIES
10
ITEM: BOX BOUNDS pp pp pp
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ENTRIES index c_angles
1 136.31 
2 37.2267 
3 135.909 
4 105.322 
5 72.536 
6 58.4145 
7 117.537 
8 53.1426 
9 89.5876 
10 128.966 
ITEM: TIMESTEP
1400
ITEM: NUMBER OF ENTRIES
10
ITEM: BOX BOUNDS pp pp pp
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ENTRIES index c_angles
1 162.155 
2 25.7975 
3 131.157 
4 112.993 
5 78.5195 
6 55.0208 
7 83.02 
8 38.8422 
9 99.0055 
10 130.264 
ITEM: TIMESTEP
1500
ITEM: NUMBER OF ENTRIES
10
ITEM: BOX BOUNDS pp pp pp
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ENTRIES index c_angles
1 166.351 
2 26.99 
3 125.986 
4 126.916 
5 84.9022 
6 54.5429 
7 56.8784 
8 33.0122 
9 109.686 
10 133.855 
ITEM: TIMESTEP
1600
ITEM: NUMBER OF ENTRIES
10
ITEM: BOX BOUNDS pp pp pp
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
-1.0000000000000000e+01 1.0000000000000000e+01
ITEM: ENTRIES index c_angles
1 148.929 
2 38.9764 
3 124.242 
4 137.854 
5 94.3725 
6 58.4271 
7 43.5695 
